scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,tree_tip_raw,tree_tip_display
Macaca assamensis,Macaca assamensis,macaca assamensis,macaca assamensis,macaca assamensis,macaca assamensis
Macaca fascicularis,Macaca fascicularis,macaca fascicularis,macaca fascicularis,macaca fascicularis,macaca fascicularis
Macaca fuscata,Macaca fuscata,macaca fuscata,macaca fuscata,macaca fuscata,macaca fuscata
Macaca maura,Macaca maura,macaca maura,macaca maura,macaca maura,macaca maura
Macaca mulatta,Macaca mulatta,macaca mulatta,macaca mulatta,macaca mulatta,macaca mulatta
Macaca nemestrina,Macaca nemestrina,macaca nemestrina,macaca nemestrina,macaca nemestrina,macaca nemestrina
Macaca nigra,Macaca nigra,macaca nigra,macaca nigra,macaca nigra,macaca nigra
Macaca ochreata,Macaca ochreata,macaca ochreata,macaca ochreata,macaca ochreata,macaca ochreata
Macaca pagensis,Macaca pagensis,macaca pagensis,macaca pagensis,macaca pagensis,macaca pagensis
Macaca radiata,Macaca radiata,macaca radiata,macaca radiata,macaca radiata,macaca radiata
Macaca silenus,Macaca silenus,macaca silenus,macaca silenus,macaca silenus,macaca silenus
Macaca sinica,Macaca sinica,macaca sinica,macaca sinica,macaca sinica,macaca sinica
Macaca sylvanus,Macaca sylvanus,macaca sylvanus,macaca sylvanus,macaca sylvanus,macaca sylvanus
Macaca thibetana,Macaca thibetana,macaca thibetana,macaca thibetana,macaca thibetana,macaca thibetana
Macaca tonkeana,Macaca tonkeana,macaca tonkeana,macaca tonkeana,macaca tonkeana,macaca tonkeana
Mandrillus leucophaeus,Mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus
Mandrillus sphinx,Mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,mandrillus sphinx
Miopithecus talapoin,Miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,miopithecus talapoin
Nasalis larvatus,Nasalis larvatus,nasalis larvatus,nasalis larvatus,nasalis larvatus,nasalis larvatus
Nomascus concolor,Nomascus concolor,nomascus concolor,nomascus concolor,nomascus concolor,nomascus concolor
Nomascus leucogenys,Nomascus leucogenys,nomascus leucogenys,nomascus leucogenys,nomascus leucogenys,nomascus leucogenys
Pan paniscus,Pan paniscus,pan paniscus,pan paniscus,pan paniscus,pan paniscus
Pan troglodytes,Pan troglodytes,pan troglodytes,pan troglodytes,pan troglodytes,pan troglodytes
Papio anubis,Papio anubis,papio anubis,papio anubis,papio anubis,papio anubis
Papio cynocephalus,Papio cynocephalus,papio cynocephalus,papio cynocephalus,papio cynocephalus,papio cynocephalus
Papio hamadryas,Papio hamadryas,papio hamadryas,papio hamadryas,papio hamadryas,papio hamadryas
Papio papio,Papio papio,papio papio,papio papio,papio papio,papio papio
Papio ursinus,Papio ursinus,papio ursinus,papio ursinus,papio ursinus,papio ursinus
Phaner furcifer,Phaner furcifer,phaner furcifer,phaner furcifer,phaner furcifer,phaner furcifer
Pithecia aequatorialis,Pithecia aequatorialis,pithecia aequatorialis,pithecia aequatorialis,pithecia aequatorialis,pithecia aequatorialis
Pithecia monachus,Pithecia monachus,pithecia monachus,pithecia monachus,pithecia monachus,pithecia monachus
Pithecia pithecia,Pithecia pithecia,pithecia pithecia,pithecia pithecia,pithecia pithecia,pithecia pithecia
Pongo pygmaeus,Pongo pygmaeus,pongo pygmaeus,pongo pygmaeus,pongo pygmaeus,pongo pygmaeus
Presbytis melalophos,Presbytis melalophos,presbytis melalophos,presbytis melalophos,presbytis melalophos,presbytis melalophos
Prolemur simus,Prolemur simus,prolemur simus,prolemur simus,prolemur simus,prolemur simus
Propithecus diadema,Propithecus diadema,propithecus diadema,propithecus diadema,propithecus diadema,propithecus diadema
Propithecus tattersalli,Propithecus tattersalli,propithecus tattersalli,propithecus tattersalli,propithecus tattersalli,propithecus tattersalli
Propithecus verreauxi,Propithecus verreauxi,propithecus verreauxi,propithecus verreauxi,propithecus verreauxi,propithecus verreauxi
Pygathrix nemaeus,Pygathrix nemaeus,pygathrix nemaeus,pygathrix nemaeus,pygathrix nemaeus,pygathrix nemaeus
Rhinopithecus roxellana,Rhinopithecus roxellana,rhinopithecus roxellana,rhinopithecus roxellana,rhinopithecus roxellana,rhinopithecus roxellana
Saguinus bicolor,Saguinus bicolor,saguinus bicolor,saguinus bicolor,saguinus bicolor,saguinus bicolor
Saguinus fuscicollis,Saguinus fuscicollis,saguinus fuscicollis,saguinus fuscicollis,saguinus fuscicollis,saguinus fuscicollis
Saguinus geoffroyi,Saguinus geoffroyi,saguinus geoffroyi,saguinus geoffroyi,saguinus geoffroyi,saguinus geoffroyi
Saguinus imperator,Saguinus imperator,saguinus imperator,saguinus imperator,saguinus imperator,saguinus imperator
Saguinus labiatus,Saguinus labiatus,saguinus labiatus,saguinus labiatus,saguinus labiatus,saguinus labiatus
Saguinus leucopus,Saguinus leucopus,saguinus leucopus,saguinus leucopus,saguinus leucopus,saguinus leucopus
Saguinus midas,Saguinus midas,saguinus midas,saguinus midas,saguinus midas,saguinus midas
Saguinus mystax,Saguinus mystax,saguinus mystax,saguinus mystax,saguinus mystax,saguinus mystax
Saguinus nigricollis,Saguinus nigricollis,saguinus nigricollis,saguinus nigricollis,saguinus nigricollis,saguinus nigricollis
Saguinus oedipus,Saguinus oedipus,saguinus oedipus,saguinus oedipus,saguinus oedipus,saguinus oedipus
Saimiri boliviensis,Saimiri boliviensis,saimiri boliviensis,saimiri boliviensis,saimiri boliviensis,saimiri boliviensis
Saimiri sciureus,Saimiri sciureus,saimiri sciureus,saimiri sciureus,saimiri sciureus,saimiri sciureus
Semnopithecus entellus,Semnopithecus entellus,semnopithecus entellus,semnopithecus entellus,semnopithecus entellus,semnopithecus entellus
Symphalangus syndactylus,Symphalangus syndactylus,symphalangus syndactylus,symphalangus syndactylus,symphalangus syndactylus,symphalangus syndactylus
Theropithecus gelada,Theropithecus gelada,theropithecus gelada,theropithecus gelada,theropithecus gelada,theropithecus gelada
Trachypithecus auratus,Trachypithecus auratus,trachypithecus auratus,trachypithecus auratus,trachypithecus auratus,trachypithecus auratus
Trachypithecus cristatus,Trachypithecus cristatus,trachypithecus cristatus,trachypithecus cristatus,trachypithecus cristatus,trachypithecus cristatus
Trachypithecus francoisi,Trachypithecus francoisi,trachypithecus francoisi,trachypithecus francoisi,trachypithecus francoisi,trachypithecus francoisi
Trachypithecus obscurus,Trachypithecus obscurus,trachypithecus obscurus,trachypithecus obscurus,trachypithecus obscurus,trachypithecus obscurus
Trachypithecus phayrei,Trachypithecus phayrei,trachypithecus phayrei,trachypithecus phayrei,trachypithecus phayrei,trachypithecus phayrei
Trachypithecus pileatus,Trachypithecus pileatus,trachypithecus pileatus,trachypithecus pileatus,trachypithecus pileatus,trachypithecus pileatus
Trachypithecus vetulus,Trachypithecus vetulus,trachypithecus vetulus,trachypithecus vetulus,trachypithecus vetulus,trachypithecus vetulus
Varecia rubra,Varecia rubra,varecia rubra,varecia rubra,varecia rubra,varecia rubra
Varecia variegata,Varecia variegata,varecia variegata,varecia variegata,varecia variegata,varecia variegata
