scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria,anage_longevity_years,longevity_years,log_longevity,abs_latitude,uv_i,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime,miss_routine,miss_z_frug,miss_z_luv,miss_arboreal,complete_full_model
cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,cercopithecus mitis,cercopithecus mitis,1,1,1,FALSE,50,1,50,50,27.1,1,1,FALSE,primates,FALSE,arboreal,FALSE,1.9,NA,-1.9,NA,-15.82,12,37.8,27.1,3.299533727885655,1.9,0.9994502159417572,0.1,27.085100852021622,0.46045447477874507,-0.1173990179015841,-0.19044238184324697,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus mona,Cercopithecus mona,Cercopithecus mona,cercopithecus mona,cercopithecus mona,1,1,1,FALSE,50,1,50,50,30,1,1,FALSE,primates,FALSE,arboreal,FALSE,6.83,NA,6.83,NA,3.58,10.08,30,30,3.4011973816621555,6.83,0.9929033758229756,0.1,29.787101274689267,0.46045447477874507,0.1496777917993314,0.03369972683442115,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus neglectus,Cercopithecus neglectus,Cercopithecus neglectus,cercopithecus neglectus,cercopithecus neglectus,1,1,1,FALSE,50,1,50,50,26.3,1,1,FALSE,primates,FALSE,arboreal,FALSE,1.11,NA,-1.11,NA,-10.71,8.48,30.8,26.3,3.269568939183719,1.11,0.9998123463078188,0.1,26.295064707895634,0.46045447477874507,-0.19548943237800528,-0.2522746876853624,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus nictitans,Cercopithecus nictitans,Cercopithecus nictitans,cercopithecus nictitans,cercopithecus nictitans,1,1,1,FALSE,50,1,50,50,23,1,1,FALSE,primates,FALSE,arboreal,FALSE,1.69,NA,1.69,NA,-6.05,9.44,31,23,3.1354942159291497,1.6900000000000002,0.9995650226315503,0.1,22.989995520525657,0.46045447477874507,-0.5221760335340802,-0.5073329492840883,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus petaurista,Cercopithecus petaurista,Cercopithecus petaurista,cercopithecus petaurista,cercopithecus petaurista,1,1,1,FALSE,30,1,30,30,19,1,1,FALSE,primates,FALSE,arboreal,FALSE,8.93,NA,8.93,NA,4.35,13.52,29,19,2.9444389791664403,8.93,0.9878787241768515,0.1,18.76969575936018,-0.5472067671283634,-0.9393277803427645,-0.8164944784946653,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus pogonias,Cercopithecus pogonias,Cercopithecus pogonias,cercopithecus pogonias,cercopithecus pogonias,1,1,1,FALSE,50,1,50,50,24.1,1,1,FALSE,primates,FALSE,arboreal,FALSE,1.53,NA,1.53,NA,-6.05,9.13,27,24.1,3.1822118404966093,1.53,0.999643481727238,0.1,24.091407909626437,0.46045447477874507,-0.41330791324130906,-0.4223135287511796,FALSE,FALSE,FALSE,FALSE,TRUE
cercopithecus wolfi,Cercopithecus wolfi,Cercopithecus wolfi,cercopithecus wolfi,cercopithecus wolfi,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,1.87,NA,-1.87,NA,-7.77,4.01,24,24,3.1780538303479458,1.87,0.9994674389493003,0.1,23.98721853478321,1.4681157166858536,-0.4236064186021591,-0.43004256698144416,FALSE,FALSE,FALSE,FALSE,TRUE
chlorocebus aethiops,Chlorocebus aethiops,Chlorocebus aethiops,chlorocebus aethiops,chlorocebus aethiops,1,1,1,FALSE,40,1,40,40,31.6,1,1,FALSE,primates,FALSE,scansorial,FALSE,12.6,NA,12.6,NA,5.71,19.5,32,31.6,3.4531571205928664,12.6,0.9759167619387474,1,30.83896967726442,-0.043376146174809144,0.25364878115528877,0.157364338518652,FALSE,FALSE,FALSE,FALSE,TRUE
colobus angolensis,Colobus angolensis,Colobus angolensis,colobus angolensis,colobus angolensis,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,4.16,NA,-4.16,NA,-12.71,4.38,35.3,35.3,3.563882963939251,4.159999999999999,0.9973653640879485,0.1,35.20699735230458,-0.5472067671283634,0.685402561187369,0.4433387530384353,FALSE,FALSE,FALSE,FALSE,TRUE
colobus guereza,Colobus guereza,Colobus guereza,colobus guereza,colobus guereza,1,1,1,FALSE,30,1,30,30,24.5,1,1,FALSE,primates,FALSE,arboreal,FALSE,5.15,NA,5.15,NA,-4.09,14.41,35,24.5,3.1986731175506815,5.1499999999999995,0.9959631112479873,0.1,24.40109622557569,-0.5472067671283634,-0.3826970492564261,-0.391397375830122,FALSE,FALSE,FALSE,FALSE,TRUE
colobus polykomos,Colobus polykomos,Colobus polykomos,colobus polykomos,colobus polykomos,1,1,1,FALSE,30,1,30,30,30.5,1,1,FALSE,primates,FALSE,arboreal,FALSE,9.06,NA,9.06,NA,4.35,13.78,33.9,30.5,3.417726683613366,9.06,0.9875239812756824,0.1,30.119481428908315,-0.5472067671283634,0.18253161019699082,0.07234491798574326,FALSE,FALSE,FALSE,FALSE,TRUE
erythrocebus patas,Erythrocebus patas,Erythrocebus patas,erythrocebus patas,erythrocebus patas,1,1,1,FALSE,40,1,40,40,23.9,1,1,FALSE,primates,FALSE,ground,FALSE,7.97,NA,7.97,NA,-3.98,19.93,30,23.9,3.173878458937465,7.970000000000001,0.9903408038596959,1,23.669145212246733,-0.043376146174809144,-0.4550460910468224,-0.43777160521170866,FALSE,FALSE,FALSE,FALSE,TRUE
eulemur coronatus,Eulemur coronatus,Eulemur coronatus,eulemur coronatus,eulemur coronatus,1,1,0,FALSE,30,1,30,30,18.4,1,1,FALSE,primates,FALSE,arboreal,FALSE,13.06,NA,-13.06,NA,-13.81,-12.3,27,18.4,2.91235066461494,13.06,0.9741339623769198,0.1,17.924064907735325,-0.5472067671283634,-1.022913403846723,-0.8628687078762519,FALSE,FALSE,FALSE,FALSE,TRUE
eulemur fulvus,Eulemur fulvus,Eulemur fulvus,eulemur fulvus,eulemur fulvus,1,1,0,FALSE,30,1,30,30,37,1,1,FALSE,primates,FALSE,arboreal,FALSE,16.64,NA,-16.64,NA,-19.99,-13.29,35.5,37,3.6109179126442243,16.64,0.9581228928381096,0.1,35.450547035010054,-0.5472067671283634,0.7094760112560511,0.5747324029529307,FALSE,FALSE,FALSE,FALSE,TRUE
eulemur macaco,Eulemur macaco,Eulemur macaco,eulemur macaco,eulemur macaco,1,1,0,FALSE,30,1,30,30,30,1,1,FALSE,primates,FALSE,arboreal,FALSE,13.94,NA,-13.94,NA,-14.58,-13.31,37.5,30,3.4011973816621555,13.94,0.9705485342222299,0.1,29.116456026666896,-0.5472067671283634,0.08338846342607464,0.03369972683442115,FALSE,FALSE,FALSE,FALSE,TRUE
eulemur mongoz,Eulemur mongoz,Eulemur mongoz,eulemur mongoz,eulemur mongoz,1,1,0,FALSE,20,1,20,20,30,1,1,FALSE,primates,FALSE,arboreal,FALSE,16.11,NA,-16.11,NA,-16.54,-15.68,36.2,30,3.4011973816621555,16.110000000000003,0.960730738986695,0.1,28.82192216960085,-1.0510373880819177,0.05427552834502012,0.03369972683442115,FALSE,FALSE,FALSE,FALSE,TRUE
