scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria,anage_longevity_years,longevity_years,log_longevity,abs_latitude,uv_i,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime,miss_routine,miss_z_frug,miss_z_luv,miss_arboreal,complete_full_model
eulemur rubriventer,Eulemur rubriventer,Eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,18.45,NA,-18.45,NA,-23.11,-13.8,31.7,31.7,3.456316680883235,18.45,0.9486001946255046,0.1,30.070626169628497,-0.5472067671283634,0.17770255588741274,0.16509337674891628,FALSE,FALSE,FALSE,FALSE,TRUE
gorilla gorilla,Gorilla gorilla,Gorilla gorilla,gorilla gorilla,gorilla gorilla,1,1,1,FALSE,10,1,10,10,54,1,1,FALSE,primates,FALSE,ground,FALSE,0.88,NA,0.88,NA,-6.05,7.82,60.1,54,3.9889840465642745,0.88,0.9998820544536569,1,53.99363094049747,-1.5548680090354718,2.5423505178427352,1.8886689020978824,FALSE,FALSE,FALSE,FALSE,TRUE
hapalemur griseus,Hapalemur griseus,Hapalemur griseus,hapalemur griseus,hapalemur griseus,1,1,0,FALSE,0,1,0,0,17.1,1,1,FALSE,primates,FALSE,arboreal,FALSE,19.45,NA,-19.45,NA,-25.16,-13.75,23.3,17.1,2.8390784635086144,19.45,0.9429324335619231,0.1,16.124144613908886,-2.058698629989026,-1.2008249118384557,-0.9633462048696891,FALSE,FALSE,FALSE,FALSE,TRUE
hylobates agilis,Hylobates agilis,Hylobates agilis,hylobates agilis,hylobates agilis,1,1,1,FALSE,70,1,70,70,44,1,1,FALSE,primates,FALSE,arboreal,FALSE,0.16,NA,0.16,NA,-5.94,6.27,49,44,3.784189633918261,0.16,0.9999961008995606,0.1,43.99982843958067,1.4681157166858536,1.554522068100779,1.1157650790714402,FALSE,FALSE,FALSE,FALSE,TRUE
hylobates klossii,Hylobates klossii,Hylobates klossii,hylobates klossii,hylobates klossii,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,2.13,NA,-2.13,NA,-3.34,-0.91,37,37,3.6109179126442243,2.13,0.9993090701927474,0.1,36.97443559713165,1.4681157166858536,0.8601034101627216,0.5747324029529307,FALSE,FALSE,FALSE,FALSE,TRUE
hylobates lar,Hylobates lar,Hylobates lar,hylobates lar,hylobates lar,1,1,1,FALSE,70,1,70,70,40,1,1,FALSE,primates,FALSE,arboreal,FALSE,13.68,NA,13.68,NA,1.87,25.5,56,40,3.6888794541139363,13.68,0.971631732914674,0.1,38.86526931658696,1.4681157166858536,1.047001174215794,0.8066035498608634,FALSE,FALSE,FALSE,FALSE,TRUE
hylobates moloch,Hylobates moloch,Hylobates moloch,hylobates moloch,hylobates moloch,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,7,NA,-7,NA,-7.52,-6.49,45,45,3.8066624897703196,7,0.992546151641322,0.1,44.66457682385949,1.4681157166858536,1.6202285262632632,1.1930554613740845,FALSE,FALSE,FALSE,FALSE,TRUE
hylobates muelleri,Hylobates muelleri,Hylobates muelleri,hylobates muelleri,hylobates muelleri,1,1,1,FALSE,70,1,70,70,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,1.13,NA,1.13,NA,-4.18,6.45,60,60,4.0943445622221,1.1300000000000001,0.9998055233121944,0.1,59.98833139873167,1.4681157166858536,3.1348913109774443,2.3524111959137475,FALSE,FALSE,FALSE,FALSE,TRUE
hylobates pileatus,Hylobates pileatus,Hylobates pileatus,hylobates pileatus,hylobates pileatus,1,1,1,FALSE,70,1,70,70,36,1,1,FALSE,primates,FALSE,arboreal,FALSE,12.92,NA,12.92,NA,10.48,15.35,38,36,3.58351893845611,12.92,0.9746832058153599,0.1,35.088595409352955,1.4681157166858536,0.6736992272720137,0.4974420206502865,FALSE,FALSE,FALSE,FALSE,TRUE
lagothrix lagotricha,Lagothrix lagotricha,Lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,1,1,0,FALSE,70,1,70,70,30,1,1,FALSE,primates,FALSE,arboreal,FALSE,0.02,NA,0.02,NA,-4.2,4.25,NA,30,3.4011973816621555,0.02,0.9999999390765166,0.1,29.9999981722955,1.4681157166858536,0.17072139480208667,0.03369972683442115,FALSE,FALSE,FALSE,FALSE,TRUE
lemur catta,Lemur catta,Lemur catta,lemur catta,lemur catta,1,1,0,FALSE,80,1,80,80,30,1,1,FALSE,primates,FALSE,scansorial,FALSE,23.05,NA,-23.05,NA,-25.6,-20.49,37.3,30,3.4011973816621555,23.05,0.9201635257593654,1,27.604905772780963,1.9719463376394077,-0.06601936646312155,0.03369972683442115,FALSE,FALSE,FALSE,FALSE,TRUE
leontopithecus chrysomelas,Leontopithecus chrysomelas,Leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,15.01,NA,-15.01,NA,-16.03,-13.99,21.3,21.3,3.0587070727153796,15.01,0.965880639132367,0.1,20.573257613519417,0.46045447477874507,-0.7610563255842371,-0.6387265991985834,FALSE,FALSE,FALSE,FALSE,TRUE
leontopithecus chrysopygus,Leontopithecus chrysopygus,Leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,21.99,NA,-21.99,NA,-23.58,-20.39,17.9,17.9,2.884800712846709,21.99,0.9272492216291858,0.1,16.597761067162423,0.46045447477874507,-1.1540107180671852,-0.901513899027574,FALSE,FALSE,FALSE,FALSE,TRUE
leontopithecus rosalia,Leontopithecus rosalia,Leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia,1,1,0,FALSE,50,1,50,50,24.8,1,1,FALSE,primates,FALSE,arboreal,FALSE,22.1,NA,-22.1,NA,-22.99,-21.2,31.6,24.8,3.2108436531709366,22.1,0.9265286308718373,0.1,22.977910045621567,0.46045447477874507,-0.5233706114675352,-0.3682102611393287,FALSE,FALSE,FALSE,FALSE,TRUE
lophocebus albigena,Lophocebus albigena,Lophocebus albigena,lophocebus albigena,lophocebus albigena,1,1,1,FALSE,50,1,50,50,32.7,1,1,FALSE,primates,FALSE,arboreal,FALSE,0.22,NA,0.22,NA,-6.02,6.46,36,32.7,3.487375077903208,0.22,0.9999926282674982,0.1,32.699758944347195,0.46045447477874507,0.4375768282454953,0.24238375905156076,FALSE,FALSE,FALSE,FALSE,TRUE
lophocebus aterrimus,Lophocebus aterrimus,Lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,1,1,1,FALSE,40,1,40,40,26.8,1,1,FALSE,primates,FALSE,arboreal,FALSE,1.65,NA,-1.65,NA,-5.3,1.99,NA,26.8,3.288401887516811,1.6500000000000001,0.9995853681937397,0.1,26.788887867592223,-0.043376146174809144,-0.1466779248216967,-0.2136294965340403,FALSE,FALSE,FALSE,FALSE,TRUE
macaca arctoides,Macaca arctoides,Macaca arctoides,macaca arctoides,macaca arctoides,1,1,1,FALSE,30,1,30,30,30,1,1,FALSE,primates,FALSE,scansorial,FALSE,17.16,NA,17.16,NA,5.87,28.45,29.2,30,3.4011973816621555,17.16,0.9554845724739565,1,28.664537174218694,-0.5472067671283634,0.03871894955664226,0.03369972683442115,FALSE,FALSE,FALSE,FALSE,TRUE
macaca assamensis,Macaca assamensis,Macaca assamensis,macaca assamensis,macaca assamensis,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,scansorial,FALSE,23.01,NA,23.01,NA,14.93,31.08,31.4,31.4,3.4468078929142076,23.01,0.9204366439858742,1,28.90171062115645,-0.5472067671283634,0.06216214631653293,0.14190626205812296,FALSE,FALSE,FALSE,FALSE,TRUE
macaca fascicularis,Macaca fascicularis,Macaca fascicularis,macaca fascicularis,macaca fascicularis,1,1,1,FALSE,40,1,40,40,38,1,1,FALSE,primates,FALSE,scansorial,FALSE,4.13,NA,4.13,NA,-10.37,18.65,39,38,3.6375861597263857,4.13,0.9974032102313197,1,37.90132198879015,-0.043376146174809144,0.9517206646837046,0.6520227852555749,FALSE,FALSE,FALSE,FALSE,TRUE
macaca fuscata,Macaca fuscata,Macaca fuscata,macaca fuscata,macaca fuscata,1,1,1,FALSE,30,1,30,30,33,1,1,FALSE,primates,FALSE,scansorial,FALSE,35.88,NA,35.88,NA,30.22,41.54,38.5,33,3.4965075614664802,35.879999999999995,0.8102462736564354,1,26.73812703066237,-0.5472067671283634,-0.15169533424592954,0.2655708737423538,FALSE,FALSE,FALSE,FALSE,TRUE
macaca maura,Macaca maura,Macaca maura,macaca maura,macaca maura,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,scansorial,FALSE,4.98,NA,-4.98,NA,-5.7,-4.25,33,33,3.4965075614664802,4.98,0.996225060492936,1,32.87542699626689,-0.5472067671283634,0.4549405793683638,0.2655708737423538,FALSE,FALSE,FALSE,FALSE,TRUE
macaca mulatta,Macaca mulatta,Macaca mulatta,macaca mulatta,macaca mulatta,1,1,1,FALSE,30,1,30,30,36,1,1,FALSE,primates,FALSE,scansorial,FALSE,25.07,NA,25.07,NA,13.69,36.45,40,36,3.58351893845611,25.07,0.9057907851659387,1,32.60846826597379,-0.5472067671283634,0.4285532829747919,0.4974420206502865,FALSE,FALSE,FALSE,FALSE,TRUE
macaca nemestrina,Macaca nemestrina,Macaca nemestrina,macaca nemestrina,macaca nemestrina,1,1,1,FALSE,70,1,70,70,34.3,1,1,FALSE,primates,FALSE,scansorial,FALSE,3.04,NA,3.04,NA,-4.89,10.98,37.6,34.3,3.535145354171894,3.04,0.9985927540074452,1,34.25173146245537,1.4681157166858536,0.590980160607154,0.36604837073579105,FALSE,FALSE,FALSE,FALSE,TRUE
macaca nigra,Macaca nigra,Macaca nigra,macaca nigra,macaca nigra,1,1,1,FALSE,70,1,70,70,18,1,1,FALSE,primates,FALSE,scansorial,FALSE,1.01,NA,1.01,NA,0.27,1.75,34,18,2.8903717578961645,1.01,0.9998446339083082,1,17.99720341034955,1.4681157166858536,-1.0156840941172953,-0.8937848607973095,FALSE,FALSE,FALSE,FALSE,TRUE
macaca ochreata,Macaca ochreata,Macaca ochreata,macaca ochreata,macaca ochreata,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,scansorial,FALSE,4.7,NA,-4.7,NA,-5.7,-3.7,29,29,3.367295829986474,4.7,0.9966373868180366,1,28.90248421772306,-0.5472067671283634,0.062238611775706255,-0.04359065546822307,FALSE,FALSE,FALSE,FALSE,TRUE
macaca pagensis,Macaca pagensis,Macaca pagensis,macaca pagensis,macaca pagensis,1,1,1,FALSE,60,1,60,60,30,1,1,FALSE,primates,FALSE,scansorial,FALSE,2.68,NA,-2.68,NA,-3.34,-2.02,NA,30,3.4011973816621555,2.68,0.9989062573590616,1,29.967187720771847,0.9642850957322994,0.16747827513257457,0.03369972683442115,FALSE,FALSE,FALSE,FALSE,TRUE
macaca radiata,Macaca radiata,Macaca radiata,macaca radiata,macaca radiata,1,1,1,FALSE,30,1,30,30,30,1,1,FALSE,primates,FALSE,scansorial,FALSE,14.59,NA,14.59,NA,8.06,21.12,30,30,3.4011973816621555,14.59,0.9677531501451416,1,29.03259450435425,-0.5472067671283634,0.07509924642668914,0.03369972683442115,FALSE,FALSE,FALSE,FALSE,TRUE
macaca silenus,Macaca silenus,Macaca silenus,macaca silenus,macaca silenus,1,1,1,FALSE,30,1,30,30,40,1,1,FALSE,primates,FALSE,scansorial,FALSE,13.19,NA,13.19,NA,10.21,16.17,40,40,3.6888794541139363,13.19,0.9736187427898355,1,38.94474971159342,-0.5472067671283634,1.0548573426138492,0.8066035498608634,FALSE,FALSE,FALSE,FALSE,TRUE
macaca sinica,Macaca sinica,Macaca sinica,macaca sinica,macaca sinica,1,1,1,FALSE,30,1,30,30,35,1,1,FALSE,primates,FALSE,scansorial,FALSE,7.87,NA,7.87,NA,5.91,9.83,29.3,35,3.5553480614894135,7.87,0.9905812932541447,1,34.670345263895065,-0.5472067671283634,0.6323576665643539,0.42015163834764224,FALSE,FALSE,FALSE,FALSE,TRUE
macaca sylvanus,Macaca sylvanus,Macaca sylvanus,macaca sylvanus,macaca sylvanus,1,1,1,FALSE,30,1,30,30,22,1,1,FALSE,primates,FALSE,scansorial,FALSE,34.21,NA,34.21,NA,31.5,36.92,30,22,3.091042453358316,34.21,0.82698245962176,1,18.19361411167872,-0.5472067671283634,-0.9962700544072923,-0.5846233315867326,FALSE,FALSE,FALSE,FALSE,TRUE
macaca thibetana,Macaca thibetana,Macaca thibetana,macaca thibetana,macaca thibetana,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,scansorial,FALSE,28.38,NA,28.38,NA,23.72,33.04,27,27,3.295836866004329,28.38,0.8798145434409992,1,23.75499267290698,-0.5472067671283634,-0.4465605757516667,-0.1981714200735115,FALSE,FALSE,FALSE,FALSE,TRUE
macaca tonkeana,Macaca tonkeana,Macaca tonkeana,macaca tonkeana,macaca tonkeana,1,1,1,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,scansorial,FALSE,1.1,NA,-1.1,NA,-3.57,1.35,28.4,28.4,3.3463891451671604,1.1,0.9998157121216442,1,28.394766224254695,-0.5472067671283634,0.012053681830578573,-0.0899648848498097,FALSE,FALSE,FALSE,FALSE,TRUE
mandrillus leucophaeus,Mandrillus leucophaeus,Mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,1,1,1,FALSE,40,1,40,40,33.4,1,1,FALSE,primates,FALSE,scansorial,FALSE,5.21,NA,5.21,NA,3.2,7.22,39,33.4,3.5085558999826545,5.21,0.9958685650785236,1,33.26201007362269,-0.043376146174809144,0.49315203711588523,0.29648702666341137,FALSE,FALSE,FALSE,FALSE,TRUE
mandrillus sphinx,Mandrillus sphinx,Mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,1,1,1,FALSE,40,1,40,40,46.33,1,1,FALSE,primates,FALSE,scansorial,FALSE,0.76,NA,-0.76,NA,-6.01,4.49,40,46.33,3.835789699428557,0.76,0.9999120277790478,1,46.32592424700328,-0.043376146174809144,1.7844429230693208,1.2958516698366012,FALSE,FALSE,FALSE,FALSE,TRUE
miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,1,1,1,FALSE,50,1,50,50,30.9,1,1,FALSE,primates,FALSE,arboreal,FALSE,7.68,NA,-7.68,NA,-12.37,-3,27.7,30.9,3.4307561839036995,7.68,0.9910299093414927,0.1,30.622824198652122,0.46045447477874507,0.23228407507502236,0.10326107090680084,FALSE,FALSE,FALSE,FALSE,TRUE
nasalis larvatus,Nasalis larvatus,Nasalis larvatus,nasalis larvatus,nasalis larvatus,1,1,1,FALSE,20,1,20,20,21,1,1,FALSE,primates,FALSE,scansorial,FALSE,1.42,NA,1.42,NA,-4.18,7.03,25.1,21,3.044522437723423,1.42,0.9996929004370153,1,20.993550909177323,-1.0510373880819177,-0.7195128115265399,-0.6619137138893768,FALSE,FALSE,FALSE,FALSE,TRUE
nomascus concolor,Nomascus concolor,Nomascus concolor,nomascus concolor,nomascus concolor,1,1,1,FALSE,80,1,80,80,44.1,1,1,FALSE,primates,FALSE,arboreal,FALSE,22.7,NA,22.7,NA,20.09,25.32,46.1,44.1,3.7864597824528,22.7,0.9225380894562464,0.1,40.683929745020464,1.9719463376394077,1.2267650340140743,1.1234941173017048,FALSE,FALSE,FALSE,FALSE,TRUE
nomascus leucogenys,Nomascus leucogenys,Nomascus leucogenys,nomascus leucogenys,nomascus leucogenys,1,1,1,FALSE,80,1,80,80,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,20.91,NA,20.91,NA,18.07,23.75,44.1,44.1,3.7864597824528,20.91,0.9341421975660468,0.1,41.19567091266266,1.9719463376394077,1.2773476310040346,1.1234941173017048,FALSE,FALSE,FALSE,FALSE,TRUE
pan paniscus,Pan paniscus,Pan paniscus,pan paniscus,pan paniscus,1,1,1,FALSE,60,1,60,60,48,1,1,FALSE,primates,FALSE,scansorial,FALSE,1.66,NA,-1.66,NA,-5,1.67,55,48,3.871201010907891,1.6600000000000001,0.9995803274764746,1,47.97985571887078,0.9642850957322994,1.9479242968191448,1.4249266082820171,FALSE,FALSE,FALSE,FALSE,TRUE
pan troglodytes,Pan troglodytes,Pan troglodytes,pan troglodytes,pan troglodytes,1,1,1,FALSE,60,1,60,60,60,1,1,FALSE,primates,FALSE,scansorial,FALSE,2.2,NA,2.2,NA,-8.72,13.13,68,60,4.0943445622221,2.2,0.9992629164106211,1,59.955774984637266,0.9642850957322994,3.131673301409907,2.3524111959137475,FALSE,FALSE,FALSE,FALSE,TRUE
papio anubis,Papio anubis,Papio anubis,papio anubis,papio anubis,1,1,1,FALSE,20,1,20,20,25.2,1,1,FALSE,primates,FALSE,ground,FALSE,8.04,NA,8.04,NA,-5.8,21.89,NA,25.2,3.2268439945173775,8.04,0.990170666273471,1,24.952300790091467,-1.0510373880819177,-0.3282137281775514,-0.33729410821827116,FALSE,FALSE,FALSE,FALSE,TRUE
papio cynocephalus,Papio cynocephalus,Papio cynocephalus,papio cynocephalus,papio cynocephalus,1,1,1,FALSE,20,1,20,20,45,1,1,FALSE,primates,FALSE,ground,FALSE,5.96,NA,-5.96,NA,-18.92,6.99,NA,45,3.8066624897703196,5.96,0.9945946276372433,1,44.75675824367595,-1.0510373880819177,1.6293401160734429,1.1930554613740845,FALSE,FALSE,FALSE,FALSE,TRUE
papio hamadryas,Papio hamadryas,Papio hamadryas,papio hamadryas,papio hamadryas,1,1,1,FALSE,0,1,0,0,37.5,1,1,FALSE,primates,FALSE,ground,FALSE,12.72,NA,12.72,NA,8.03,17.42,37.5,37.5,3.624340932976365,12.719999999999999,0.9754577437121731,1,36.57966538920649,-2.058698629989026,0.8210827028330292,0.6133775941042527,FALSE,FALSE,FALSE,FALSE,TRUE
papio papio,Papio papio,Papio papio,papio papio,papio papio,1,1,1,FALSE,20,1,20,20,40,1,1,FALSE,primates,FALSE,ground,FALSE,10.83,NA,10.83,NA,8.51,13.16,NA,40,3.6888794541139363,10.83,0.9821890034564742,1,39.28756013825897,-1.0510373880819177,1.0887421319417696,0.8066035498608634,FALSE,FALSE,FALSE,FALSE,TRUE
papio ursinus,Papio ursinus,Papio ursinus,papio ursinus,papio ursinus,1,1,1,FALSE,40,1,40,40,45,1,1,FALSE,primates,FALSE,ground,FALSE,24.42,NA,-24.42,NA,-34.83,-14.01,NA,45,3.8066624897703196,24.419999999999998,0.9105394046779844,1,40.9742732105093,-0.043376146174809144,1.2554637735959537,1.1930554613740845,FALSE,FALSE,FALSE,FALSE,TRUE
phaner furcifer,Phaner furcifer,Phaner furcifer,phaner furcifer,phaner furcifer,1,1,0,FALSE,0,1,0,0,12,1,1,FALSE,primates,FALSE,arboreal,FALSE,15.35,NA,-15.35,NA,-15.93,-14.78,25,12,2.4849066497880004,15.350000000000001,0.9643267785343497,0.1,11.571921342412196,-2.058698629989026,-1.6507853404890425,-1.3575271546131749,FALSE,FALSE,FALSE,FALSE,TRUE
pithecia pithecia,Pithecia pithecia,Pithecia pithecia,pithecia pithecia,pithecia pithecia,1,1,0,FALSE,30,1,30,30,20.7,1,1,FALSE,primates,FALSE,arboreal,FALSE,2.92,NA,2.92,NA,-3.02,8.86,36,20.7,3.0301337002713233,2.92,0.9987016360714307,0.1,20.673123866678615,-0.5472067671283634,-0.7511851353109914,-0.6851008285801701,FALSE,FALSE,FALSE,FALSE,TRUE
pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus,pongo pygmaeus,pongo pygmaeus,1,1,1,FALSE,80,1,80,80,60,1,1,FALSE,primates,FALSE,arboreal,FALSE,1.33,NA,1.33,NA,-2.67,5.34,59,60,4.0943445622221,1.33,0.9997305932206075,0.1,59.98383559323645,1.9719463376394077,3.1344469271133173,2.3524111959137475,FALSE,FALSE,FALSE,FALSE,TRUE
presbytis melalophos,Presbytis melalophos,Presbytis melalophos,presbytis melalophos,presbytis melalophos,1,1,1,FALSE,40,1,40,40,16,1,1,FALSE,primates,FALSE,arboreal,FALSE,3.33,NA,-3.33,NA,-5.94,-0.73,20,16,2.772588722239781,3.3299999999999996,0.9983115393108354,0.1,15.972984628973366,-0.043376146174809144,-1.2157661850493455,-1.048365625402598,FALSE,FALSE,FALSE,FALSE,TRUE
propithecus diadema,Propithecus diadema,Propithecus diadema,propithecus diadema,propithecus diadema,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,17,NA,-17,NA,-19.74,-14.26,21,21,3.044522437723423,17,0.9563047559630354,0.1,20.082399875223743,-0.5472067671283634,-0.8095747187203809,-0.6619137138893768,FALSE,FALSE,FALSE,FALSE,TRUE
propithecus tattersalli,Propithecus tattersalli,Propithecus tattersalli,propithecus tattersalli,propithecus tattersalli,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,13.08,NA,-13.08,NA,-13.24,-12.93,20,20,2.995732273553991,13.08,0.9740550241708108,0.1,19.481100483416217,-0.5472067671283634,-0.869009618097822,-0.739204096192021,FALSE,FALSE,FALSE,FALSE,TRUE
