tree_tip_raw,tree_tip_display,tree_tip_clean_original,tree_tip_clean,was_remapped
Ateles_fusciceps,Ateles fusciceps,ateles fusciceps,ateles fusciceps,FALSE
Ateles_geoffroyi,Ateles geoffroyi,ateles geoffroyi,ateles geoffroyi,FALSE
Ateles_paniscus,Ateles paniscus,ateles paniscus,ateles paniscus,FALSE
Avahi_cleesei,Avahi cleesei,avahi cleesei,avahi cleesei,FALSE
Avahi_laniger,Avahi laniger,avahi laniger,avahi laniger,FALSE
Avahi_occidentalis,Avahi occidentalis,avahi occidentalis,avahi occidentalis,FALSE
Avahi_unicolor,Avahi unicolor,avahi unicolor,avahi unicolor,FALSE
Brachyteles_arachnoides,Brachyteles arachnoides,brachyteles arachnoides,brachyteles arachnoides,FALSE
Bunopithecus_hoolock,Bunopithecus hoolock,bunopithecus hoolock,bunopithecus hoolock,FALSE
Cacajao_calvus,Cacajao calvus,cacajao calvus,cacajao calvus,FALSE
Cacajao_melanocephalus,Cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,FALSE
Callicebus_donacophilus,Callicebus donacophilus,callicebus donacophilus,callicebus donacophilus,FALSE
Callicebus_hoffmannsi,Callicebus hoffmannsi,callicebus hoffmannsi,callicebus hoffmannsi,FALSE
Callicebus_moloch,Callicebus moloch,callicebus moloch,callicebus moloch,FALSE
Callicebus_personatus,Callicebus personatus,callicebus personatus,callicebus personatus,FALSE
Callicebus_torquatus,Callicebus torquatus,callicebus torquatus,callicebus torquatus,FALSE
Callimico_goeldii,Callimico goeldii,callimico goeldii,callimico goeldii,FALSE
Callithrix_argentata,Callithrix argentata,callithrix argentata,callithrix argentata,FALSE
Callithrix_aurita,Callithrix aurita,callithrix aurita,callithrix aurita,FALSE
Callithrix_emiliae,Callithrix emiliae,callithrix emiliae,callithrix emiliae,FALSE
Callithrix_geoffroyi,Callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,FALSE
Callithrix_humeralifera,Callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,FALSE
Callithrix_jacchus,Callithrix jacchus,callithrix jacchus,callithrix jacchus,FALSE
Callithrix_kuhli,Callithrix kuhli,callithrix kuhli,callithrix kuhli,FALSE
Callithrix_mauesi,Callithrix mauesi,callithrix mauesi,callithrix mauesi,FALSE
Callithrix_penicillata,Callithrix penicillata,callithrix penicillata,callithrix penicillata,FALSE
Callithrix_pygmaea,Callithrix pygmaea,callithrix pygmaea,callithrix pygmaea,FALSE
Cebus_albifrons,Cebus albifrons,cebus albifrons,cebus albifrons,FALSE
Cebus_apella,Cebus apella,cebus apella,cebus apella,FALSE
Cebus_capucinus,Cebus capucinus,cebus capucinus,cebus capucinus,FALSE
Cebus_olivaceus,Cebus olivaceus,cebus olivaceus,cebus olivaceus,FALSE
Cebus_xanthosternos,Cebus xanthosternos,cebus xanthosternos,cebus xanthosternos,FALSE
Cercocebus_agilis,Cercocebus agilis,cercocebus agilis,cercocebus agilis,FALSE
Cercocebus_galeritus,Cercocebus galeritus,cercocebus galeritus,cercocebus galeritus,FALSE
Cercocebus_torquatus,Cercocebus torquatus,cercocebus torquatus,cercocebus torquatus,FALSE
Cercocebus_torquatus_atys,Cercocebus torquatus atys,cercocebus torquatus,cercocebus torquatus,FALSE
Cercopithecus_albogularis,Cercopithecus albogularis,cercopithecus albogularis,cercopithecus albogularis,FALSE
Cercopithecus_ascanius,Cercopithecus ascanius,cercopithecus ascanius,cercopithecus ascanius,FALSE
Cercopithecus_campbelli,Cercopithecus campbelli,cercopithecus campbelli,cercopithecus campbelli,FALSE
Cercopithecus_campbelli_lowei,Cercopithecus campbelli lowei,cercopithecus campbelli,cercopithecus campbelli,FALSE
Cercopithecus_cephus,Cercopithecus cephus,cercopithecus cephus,cercopithecus cephus,FALSE
Cercopithecus_cephus_cephus,Cercopithecus cephus cephus,cercopithecus cephus,cercopithecus cephus,FALSE
Cercopithecus_cephus_ngottoensis,Cercopithecus cephus ngottoensis,cercopithecus cephus,cercopithecus cephus,FALSE
Cercopithecus_diana,Cercopithecus diana,cercopithecus diana,cercopithecus diana,FALSE
Cercopithecus_erythrogaster,Cercopithecus erythrogaster,cercopithecus erythrogaster,cercopithecus erythrogaster,FALSE
Cercopithecus_erythrogaster_erythrogaster,Cercopithecus erythrogaster erythrogaster,cercopithecus erythrogaster,cercopithecus erythrogaster,FALSE
