scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,was_merged
Cercopithecus doggetti,Cercopithecus doggetti,cercopithecus doggetti,cercopithecus doggetti,FALSE
Cercopithecus dryas,Cercopithecus dryas,cercopithecus dryas,cercopithecus dryas,FALSE
Cercopithecus erythrogaster,Cercopithecus erythrogaster,cercopithecus erythrogaster,cercopithecus erythrogaster,FALSE
Cercopithecus erythrotis,Cercopithecus erythrotis,cercopithecus erythrotis,cercopithecus erythrotis,FALSE
Cercopithecus hamlyni,Cercopithecus hamlyni,cercopithecus hamlyni,cercopithecus hamlyni,FALSE
Cercopithecus kandti,Cercopithecus kandti,cercopithecus kandti,cercopithecus kandti,FALSE
Cercopithecus lhoesti,Cercopithecus lhoesti,cercopithecus lhoesti,cercopithecus lhoesti,FALSE
Cercopithecus lowei,Cercopithecus lowei,cercopithecus lowei,cercopithecus lowei,FALSE
Cercopithecus mitis,Cercopithecus mitis,cercopithecus mitis,cercopithecus mitis,FALSE
Cercopithecus mona,Cercopithecus mona,cercopithecus mona,cercopithecus mona,FALSE
Cercopithecus neglectus,Cercopithecus neglectus,cercopithecus neglectus,cercopithecus neglectus,FALSE
Cercopithecus nictitans,Cercopithecus nictitans,cercopithecus nictitans,cercopithecus nictitans,FALSE
Cercopithecus petaurista,Cercopithecus petaurista,cercopithecus petaurista,cercopithecus petaurista,FALSE
Cercopithecus pogonias,Cercopithecus pogonias,cercopithecus pogonias,cercopithecus pogonias,FALSE
Cercopithecus preussi,Cercopithecus preussi,cercopithecus preussi,cercopithecus preussi,FALSE
Cercopithecus roloway,Cercopithecus roloway,cercopithecus roloway,cercopithecus roloway,FALSE
Cercopithecus sclateri,Cercopithecus sclateri,cercopithecus sclateri,cercopithecus sclateri,FALSE
Cercopithecus solatus,Cercopithecus solatus,cercopithecus solatus,cercopithecus solatus,FALSE
Cercopithecus wolfi,Cercopithecus wolfi,cercopithecus wolfi,cercopithecus wolfi,FALSE
Chlorocebus aethiops,Chlorocebus aethiops,chlorocebus aethiops,chlorocebus aethiops,FALSE
Chlorocebus cynosuros,Chlorocebus cynosuros,chlorocebus cynosuros,chlorocebus cynosuros,FALSE
Chlorocebus djamdjamensis,Chlorocebus djamdjamensis,chlorocebus djamdjamensis,chlorocebus djamdjamensis,FALSE
Chlorocebus pygerythrus,Chlorocebus pygerythrus,chlorocebus pygerythrus,chlorocebus pygerythrus,FALSE
Chlorocebus sabaeus,Chlorocebus sabaeus,chlorocebus sabaeus,chlorocebus sabaeus,FALSE
Chlorocebus tantalus,Chlorocebus tantalus,chlorocebus tantalus,chlorocebus tantalus,FALSE
Colobus angolensis,Colobus angolensis,colobus angolensis,colobus angolensis,FALSE
Colobus guereza,Colobus guereza,colobus guereza,colobus guereza,FALSE
Colobus polykomos,Colobus polykomos,colobus polykomos,colobus polykomos,FALSE
Colobus satanas,Colobus satanas,colobus satanas,colobus satanas,FALSE
Colobus vellerosus,Colobus vellerosus,colobus vellerosus,colobus vellerosus,FALSE
Erythrocebus patas,Erythrocebus patas,erythrocebus patas,erythrocebus patas,FALSE
Lophocebus albigena,Lophocebus albigena,lophocebus albigena,lophocebus albigena,FALSE
Lophocebus aterrimus,Lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,FALSE
Lophocebus opdenboschi,Lophocebus opdenboschi,lophocebus opdenboschi,lophocebus opdenboschi,FALSE
Macaca arctoides,Macaca arctoides,macaca arctoides,macaca arctoides,FALSE
Macaca assamensis,Macaca assamensis,macaca assamensis,macaca assamensis,FALSE
Macaca cyclopis,Macaca cyclopis,macaca cyclopis,macaca cyclopis,FALSE
Macaca fascicularis,Macaca fascicularis,macaca fascicularis,macaca fascicularis,FALSE
Macaca fuscata,Macaca fuscata,macaca fuscata,macaca fuscata,FALSE
Macaca hecki,Macaca hecki,macaca hecki,macaca hecki,FALSE
Macaca leonina,Macaca leonina,macaca leonina,macaca leonina,FALSE
Macaca maura,Macaca maura,macaca maura,macaca maura,FALSE
Macaca mulatta,Macaca mulatta,macaca mulatta,macaca mulatta,FALSE
Macaca nemestrina,Macaca nemestrina,macaca nemestrina,macaca nemestrina,FALSE
Macaca nigra,Macaca nigra,macaca nigra,macaca nigra,FALSE
Macaca nigrescens,Macaca nigrescens,macaca nigrescens,macaca nigrescens,FALSE
Macaca ochreata,Macaca ochreata,macaca ochreata,macaca ochreata,FALSE
Macaca pagensis,Macaca pagensis,macaca pagensis,macaca pagensis,FALSE
Macaca radiata,Macaca radiata,macaca radiata,macaca radiata,FALSE
Macaca siberu,Macaca siberu,macaca siberu,macaca siberu,FALSE
Macaca silenus,Macaca silenus,macaca silenus,macaca silenus,FALSE
Macaca sinica,Macaca sinica,macaca sinica,macaca sinica,FALSE
Macaca sylvanus,Macaca sylvanus,macaca sylvanus,macaca sylvanus,FALSE
Macaca thibetana,Macaca thibetana,macaca thibetana,macaca thibetana,FALSE
Macaca tonkeana,Macaca tonkeana,macaca tonkeana,macaca tonkeana,FALSE
Mandrillus leucophaeus,Mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,FALSE
Mandrillus sphinx,Mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,FALSE
Miopithecus ogouensis,Miopithecus ogouensis,miopithecus ogouensis,miopithecus ogouensis,FALSE
Miopithecus talapoin,Miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,FALSE
Nasalis larvatus,Nasalis larvatus,nasalis larvatus,nasalis larvatus,FALSE
Papio anubis,Papio anubis,papio anubis,papio anubis,FALSE
Papio cynocephalus,Papio cynocephalus,papio cynocephalus,papio cynocephalus,FALSE
Papio hamadryas,Papio hamadryas,papio hamadryas,papio hamadryas,FALSE
Papio papio,Papio papio,papio papio,papio papio,FALSE
Papio ursinus,Papio ursinus,papio ursinus,papio ursinus,FALSE
Piliocolobus badius,Piliocolobus badius,piliocolobus badius,piliocolobus badius,FALSE
Piliocolobus foai,Piliocolobus foai,piliocolobus foai,piliocolobus foai,FALSE
Piliocolobus gordonorum,Piliocolobus gordonorum,piliocolobus gordonorum,piliocolobus gordonorum,FALSE
Piliocolobus kirkii,Piliocolobus kirkii,piliocolobus kirkii,piliocolobus kirkii,FALSE
Piliocolobus pennantii,Piliocolobus pennantii,piliocolobus pennantii,piliocolobus pennantii,FALSE
Piliocolobus preussi,Piliocolobus preussi,piliocolobus preussi,piliocolobus preussi,FALSE
Piliocolobus rufomitratus,Piliocolobus rufomitratus,piliocolobus rufomitratus,piliocolobus rufomitratus,FALSE
Piliocolobus tephrosceles,Piliocolobus tephrosceles,piliocolobus tephrosceles,piliocolobus tephrosceles,FALSE
Piliocolobus tholloni,Piliocolobus tholloni,piliocolobus tholloni,piliocolobus tholloni,FALSE
Presbytis chrysomelas,Presbytis chrysomelas,presbytis chrysomelas,presbytis chrysomelas,FALSE
Presbytis comata,Presbytis comata,presbytis comata,presbytis comata,FALSE
Presbytis femoralis,Presbytis femoralis,presbytis femoralis,presbytis femoralis,FALSE
Presbytis frontata,Presbytis frontata,presbytis frontata,presbytis frontata,FALSE
Presbytis hosei,Presbytis hosei,presbytis hosei,presbytis hosei,FALSE
Presbytis melalophos,Presbytis melalophos,presbytis melalophos,presbytis melalophos,FALSE
Presbytis natunae,Presbytis natunae,presbytis natunae,presbytis natunae,FALSE
Presbytis potenziani,Presbytis potenziani,presbytis potenziani,presbytis potenziani,FALSE
Presbytis rubicunda,Presbytis rubicunda,presbytis rubicunda,presbytis rubicunda,FALSE
Presbytis siamensis,Presbytis siamensis,presbytis siamensis,presbytis siamensis,FALSE
Presbytis thomasi,Presbytis thomasi,presbytis thomasi,presbytis thomasi,FALSE
Procolobus verus,Procolobus verus,procolobus verus,procolobus verus,FALSE
Pygathrix cinerea,Pygathrix cinerea,pygathrix cinerea,pygathrix cinerea,FALSE
Pygathrix nemaeus,Pygathrix nemaeus,pygathrix nemaeus,pygathrix nemaeus,FALSE
Pygathrix nigripes,Pygathrix nigripes,pygathrix nigripes,pygathrix nigripes,FALSE
Rhinopithecus avunculus,Rhinopithecus avunculus,rhinopithecus avunculus,rhinopithecus avunculus,FALSE
Rhinopithecus bieti,Rhinopithecus bieti,rhinopithecus bieti,rhinopithecus bieti,FALSE
Rhinopithecus brelichi,Rhinopithecus brelichi,rhinopithecus brelichi,rhinopithecus brelichi,FALSE
Rhinopithecus roxellana,Rhinopithecus roxellana,rhinopithecus roxellana,rhinopithecus roxellana,FALSE
Semnopithecus ajax,Semnopithecus ajax,semnopithecus ajax,semnopithecus ajax,FALSE
Semnopithecus dussumieri,Semnopithecus dussumieri,semnopithecus dussumieri,semnopithecus dussumieri,FALSE
Semnopithecus entellus,Semnopithecus entellus,semnopithecus entellus,semnopithecus entellus,FALSE
Semnopithecus hector,Semnopithecus hector,semnopithecus hector,semnopithecus hector,FALSE
Semnopithecus hypoleucos,Semnopithecus hypoleucos,semnopithecus hypoleucos,semnopithecus hypoleucos,FALSE
Semnopithecus priam,Semnopithecus priam,semnopithecus priam,semnopithecus priam,FALSE
Semnopithecus schistaceus,Semnopithecus schistaceus,semnopithecus schistaceus,semnopithecus schistaceus,FALSE
Simias concolor,Simias concolor,simias concolor,simias concolor,FALSE
Theropithecus gelada,Theropithecus gelada,theropithecus gelada,theropithecus gelada,FALSE
Trachypithecus auratus,Trachypithecus auratus,trachypithecus auratus,trachypithecus auratus,FALSE
Trachypithecus barbei,Trachypithecus barbei,trachypithecus barbei,trachypithecus barbei,FALSE
Trachypithecus cristatus,Trachypithecus cristatus,trachypithecus cristatus,trachypithecus cristatus,FALSE
Trachypithecus delacouri,Trachypithecus delacouri,trachypithecus delacouri,trachypithecus delacouri,FALSE
Trachypithecus ebenus,Trachypithecus ebenus,trachypithecus ebenus,trachypithecus ebenus,FALSE
Trachypithecus francoisi,Trachypithecus francoisi,trachypithecus francoisi,trachypithecus francoisi,FALSE
Trachypithecus geei,Trachypithecus geei,trachypithecus geei,trachypithecus geei,FALSE
Trachypithecus germaini,Trachypithecus germaini,trachypithecus germaini,trachypithecus germaini,FALSE
Trachypithecus hatinhensis,Trachypithecus hatinhensis,trachypithecus hatinhensis,trachypithecus hatinhensis,FALSE
Trachypithecus johnii,Trachypithecus johnii,trachypithecus johnii,trachypithecus johnii,FALSE
Trachypithecus laotum,Trachypithecus laotum,trachypithecus laotum,trachypithecus laotum,FALSE
Trachypithecus obscurus,Trachypithecus obscurus,trachypithecus obscurus,trachypithecus obscurus,FALSE
Trachypithecus phayrei,Trachypithecus phayrei,trachypithecus phayrei,trachypithecus phayrei,FALSE
Trachypithecus pileatus,Trachypithecus pileatus,trachypithecus pileatus,trachypithecus pileatus,FALSE
Trachypithecus poliocephalus,Trachypithecus poliocephalus,trachypithecus poliocephalus,trachypithecus poliocephalus,FALSE
Trachypithecus shortridgei,Trachypithecus shortridgei,trachypithecus shortridgei,trachypithecus shortridgei,FALSE
