scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria
callicebus donacophilus,Callicebus donacophilus,Callicebus donacophilus,callicebus donacophilus,callicebus donacophilus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,15.87,NA,-15.87,NA,-21.29,-10.45
callicebus dubius,Callicebus dubius,Callicebus dubius,callicebus dubius,callicebus dubius,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
callicebus hoffmannsi,Callicebus hoffmannsi,Callicebus hoffmannsi,callicebus hoffmannsi,callicebus hoffmannsi,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,3.97,NA,-3.97,NA,-6,-1.95
callicebus lucifer,Callicebus lucifer,Callicebus lucifer,callicebus lucifer,callicebus lucifer,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
callicebus lugens,Callicebus lugens,Callicebus lugens,callicebus lugens,callicebus lugens,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
callicebus medemi,Callicebus medemi,Callicebus medemi,callicebus medemi,callicebus medemi,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,0.35,NA,-0.35,NA,-1.66,0.95
callicebus melanochir,Callicebus melanochir,Callicebus melanochir,callicebus melanochir,callicebus melanochir,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,15.5,NA,-15.5,NA,-18.16,-12.83
callicebus modestus,Callicebus modestus,Callicebus modestus,callicebus modestus,callicebus modestus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,14.96,NA,-14.96,NA,-15.67,-14.25
callicebus moloch,Callicebus moloch,Callicebus moloch,callicebus moloch,callicebus moloch,1,1,0,FALSE,50,1,50,50,25.3,1,1,FALSE,Primates,FALSE,arboreal,FALSE,7.7,NA,-7.7,NA,-14.1,-1.3
callicebus nigrifrons,Callicebus nigrifrons,Callicebus nigrifrons,callicebus nigrifrons,callicebus nigrifrons,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,20.4,NA,-20.4,NA,-24.44,-16.37
callicebus oenanthe,Callicebus oenanthe,Callicebus oenanthe,callicebus oenanthe,callicebus oenanthe,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,5.57,NA,-5.57,NA,-5.98,-5.16
callicebus olallae,Callicebus olallae,Callicebus olallae,callicebus olallae,callicebus olallae,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,14.96,NA,-14.96,NA,-15.67,-14.25
callicebus ornatus,Callicebus ornatus,Callicebus ornatus,callicebus ornatus,callicebus ornatus,1,1,0,FALSE,70,1,70,70,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,3.28,NA,3.28,NA,2.18,4.38
callicebus pallescens,Callicebus pallescens,Callicebus pallescens,callicebus pallescens,callicebus pallescens,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,18.84,NA,-18.84,NA,-21.29,-16.39
callicebus personatus,Callicebus personatus,Callicebus personatus,callicebus personatus,callicebus personatus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,19.25,NA,-19.25,NA,-22.48,-16.02
callicebus purinus,Callicebus purinus,Callicebus purinus,callicebus purinus,callicebus purinus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
callicebus regulus,Callicebus regulus,Callicebus regulus,callicebus regulus,callicebus regulus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
callicebus stephennashi,Callicebus stephennashi,Callicebus stephennashi,callicebus stephennashi,callicebus stephennashi,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
callicebus torquatus,Callicebus torquatus,Callicebus torquatus,callicebus torquatus,callicebus torquatus,1,1,0,FALSE,50,1,50,50,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,NA,NA,NA,NA,NA,NA
callimico goeldii,Callimico goeldii,Callimico goeldii,callimico goeldii,callimico goeldii,1,1,0,FALSE,50,1,50,50,17.900000000000002,1,1,FALSE,Primates,FALSE,arboreal,FALSE,5.33,NA,-5.33,NA,-11.64,0.97
callithrix acariensis,Callithrix acariensis,Callithrix acariensis,callithrix acariensis,callithrix acariensis,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,9.62,NA,-9.62,NA,-11.18,-8.06
callithrix argentata,Callithrix argentata,Callithrix argentata,callithrix argentata,callithrix argentata,1,1,0,FALSE,60,1,60,60,16.8,1,1,FALSE,Primates,FALSE,arboreal,FALSE,3.09,NA,-3.09,NA,-5.09,-1.09
callithrix aurita,Callithrix aurita,Callithrix aurita,callithrix aurita,callithrix aurita,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,23.15,NA,-23.15,NA,-24.65,-21.66
callithrix chrysoleuca,Callithrix chrysoleuca,Callithrix chrysoleuca,callithrix chrysoleuca,callithrix chrysoleuca,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,5.77,NA,-5.77,NA,-8.03,-3.51
callithrix emiliae,Callithrix emiliae,Callithrix emiliae,callithrix emiliae,callithrix emiliae,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,9.52,NA,-9.52,NA,-13.49,-5.54
callithrix flaviceps,Callithrix flaviceps,Callithrix flaviceps,callithrix flaviceps,callithrix flaviceps,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,21.16,NA,-21.16,NA,-21.92,-20.39
callithrix geoffroyi,Callithrix geoffroyi,Callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,18.99,NA,-18.99,NA,-21.07,-16.9
callithrix humeralifera,Callithrix humeralifera,Callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,1,1,0,FALSE,60,1,60,60,15,1,1,FALSE,Primates,FALSE,arboreal,FALSE,5.36,NA,-5.36,NA,-8.45,-2.27
callithrix humilis,Callithrix humilis,Callithrix humilis,callithrix humilis,callithrix humilis,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,6.45,NA,-6.45,NA,-7.65,-5.25
callithrix intermedia,Callithrix intermedia,Callithrix intermedia,callithrix intermedia,callithrix intermedia,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,8.04,NA,-8.04,NA,-11.95,-4.13
callithrix jacchus,Callithrix jacchus,Callithrix jacchus,callithrix jacchus,callithrix jacchus,1,1,0,FALSE,30,1,30,30,16.8,1,1,FALSE,Primates,FALSE,arboreal,FALSE,6.58,NA,-6.58,NA,-10.38,-2.78
callithrix kuhlii,Callithrix kuhlii,Callithrix kuhlii,callithrix kuhlii,callithrix kuhlii,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,15.62,NA,-15.62,NA,-16.84,-14.4
callithrix leucippe,Callithrix leucippe,Callithrix leucippe,callithrix leucippe,callithrix leucippe,1,1,0,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,4.63,NA,-4.63,NA,-5.41,-3.85
callithrix manicorensis,Callithrix manicorensis,Callithrix manicorensis,callithrix manicorensis,callithrix manicorensis,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,6.48,NA,-6.48,NA,-7.64,-5.31
