scientific_name,routine_trichromacy,diet_pct_fruit_eltontraits,z_frugivory,longevity_years,log_longevity,abs_latitude,uv,foraging_stratum_eltontraits,arboreal,uv_arb,luv_arb,z_uv_arb
Callithrix acariensis,0,30,-0.5504559621322163,NA,NA,9.62,0.9859377637269816,arboreal,0.1,0.09859377637269817,NA,-0.4541410047411122
Callithrix argentata,0,60,0.961219172545078,16.8,2.8213788864092133,3.09,0.9985460936510022,arboreal,0.1,0.09985460936510022,1.677557437333684,-0.45031049948929674
Callithrix aurita,0,30,-0.5504559621322163,NA,NA,23.150000000000002,0.9194787684000263,arboreal,0.1,0.09194787684000263,NA,-0.47433174627185937
Callithrix chrysoleuca,0,30,-0.5504559621322163,NA,NA,5.7700000000000005,0.9949334854037475,arboreal,0.1,0.09949334854037475,NA,-0.45140803698611437
Callithrix emiliae,0,30,-0.5504559621322163,NA,NA,9.52,0.986227928967551,arboreal,0.1,0.0986227928967551,NA,-0.4540528503634434
Callithrix flaviceps,0,30,-0.5504559621322163,NA,NA,21.16,0.9325760355695187,arboreal,0.1,0.09325760355695188,NA,-0.4703526982155745
Callithrix geoffroyi,0,30,-0.5504559621322163,17.6,2.8678989020441064,18.99,0.9455753835603061,arboreal,0.1,0.09455753835603062,1.664212675066139,-0.4664033987406279
Callithrix humeralifera,0,60,0.961219172545078,15,2.70805020110221,5.359999999999999,0.9956274219821757,arboreal,0.1,0.09956274219821758,1.4934411329732638,-0.451197213845848
Callithrix humilis,0,30,-0.5504559621322163,NA,NA,6.45,0.9936702657801585,arboreal,0.1,0.09936702657801585,NA,-0.4517918125877613
Callithrix intermedia,0,30,-0.5504559621322163,NA,NA,8.04,0.990170666273471,arboreal,0.1,0.0990170666273471,NA,-0.4528550171811055
Callithrix jacchus,0,30,-0.5504559621322163,16.8,2.8213788864092133,6.58,0.9934128257140318,arboreal,0.1,0.09934128257140318,1.6689335471995734,-0.451870024811844
Callithrix kuhlii,0,30,-0.5504559621322163,20,2.995732273553991,15.62,0.9630686373944737,arboreal,0.1,0.09630686373944737,1.9261372747889474,-0.46108881694534504
Callithrix leucippe,0,40,-0.04656425057311814,NA,NA,4.63,0.9967367497632916,arboreal,0.1,0.09967367497632917,NA,-0.4508601917408463
Callithrix manicorensis,0,30,-0.5504559621322163,NA,NA,6.48,0.9936113105200084,arboreal,0.1,0.09936113105200084,NA,-0.4518097236382326
Callithrix marcai,0,30,-0.5504559621322163,NA,NA,9.950000000000001,0.9849589146280211,arboreal,0.1,0.09849589146280212,NA,-0.45443838644328033
Callithrix mauesi,0,30,-0.5504559621322163,NA,NA,3.2,0.998440764181981,arboreal,0.1,0.0998440764181981,NA,-0.45034249937244447
Callithrix melanura,0,40,-0.04656425057311814,NA,NA,14.229999999999999,0.9693167743646459,arboreal,0.1,0.0969316774364646,NA,-0.4591905860438273
Callithrix nigriceps,0,0,-2.0621310968095106,NA,NA,7.49,0.9914676273912694,arboreal,0.1,0.09914676273912694,NA,-0.45246099066030027
Callithrix penicillata,0,30,-0.5504559621322163,15.4,2.7343675094195836,12.68,0.975611225313615,arboreal,0.1,0.09756112253136151,1.5024412869829673,-0.4572782846079815
Callithrix pygmaea,0,0,-2.0621310968095106,15.1,2.714694743820879,5.96,0.9945946276372433,arboreal,0.1,0.09945946276372433,1.5018378877322374,-0.4515109845185818
Callithrix saterei,0,30,-0.5504559621322163,NA,NA,5.14,0.9959787627599905,arboreal,0.1,0.09959787627599906,NA,-0.45109047388086404
Cebus albifrons,0,20,-1.0543476736913144,44,3.784189633918261,0.8200000000000001,0.999897589371505,arboreal,0.1,0.09998975893715051,4.399549393234622,-0.44989990494692755
Cebus apella,0,20,-1.0543476736913144,45.1,3.8088822465086327,10.77,0.9823852287012823,arboreal,0.1,0.09823852287012824,4.430557381442783,-0.4552202915423938
Cebus capucinus,0,20,-1.0543476736913144,54.8,4.00369019395397,8.739999999999998,0.9883880459536023,arboreal,0.1,0.09883880459536024,5.416366491825741,-0.4533965906121942
Cebus kaapori,0,70,1.4651108841041762,NA,NA,3,0.9986295347545738,arboreal,0.1,0.09986295347545739,NA,-0.45028514945583675
Cebus libidinosus,0,40,-0.04656425057311814,NA,NA,18.08,0.95062412024896,arboreal,0.1,0.09506241202489601,NA,-0.4648695546456952
Cebus nigritus,0,40,-0.04656425057311814,44,3.784189633918261,23.1,0.9198214973217377,arboreal,0.1,0.09198214973217378,4.047214588215646,-0.4742276226533884
Cebus olivaceus,0,20,-1.0543476736913144,41,3.713572066704308,4.78,0.9965220076166375,arboreal,0.1,0.09965220076166376,4.085740231228214,-0.450925432016561
