scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,longevity_years,log_longevity,abs_latitude,uv_i,foraging_stratum_eltontraits,foraging_stratum_conflict,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime
Cacajao calvus,Cacajao calvus,cacajao calvus,cacajao calvus,cacajao calvus,1,1,0,FALSE,70,27,3.295836866004329,5.73,0.99500342986418,arboreal,FALSE,0.1,26.86509260633286,1.4681157166858536,-0.139145535730933,-0.1981714200735115
Cacajao melanocephalus,Cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,1,1,0,FALSE,70,18,2.8903717578961645,0.53,0.9999572167884616,arboreal,FALSE,0.1,17.999229902192308,1.4681157166858536,-1.0154837873476483,-0.8937848607973095
Callicebus moloch,Callicebus moloch,callicebus moloch,callicebus moloch,callicebus moloch,1,1,0,FALSE,50,25.3,3.2308043957334744,7.7,0.9909831997148363,arboreal,FALSE,0.1,25.071874952785357,0.46045447477874507,-0.3163945272525519,-0.3295650699880066
Callimico goeldii,Callimico goeldii,callimico goeldii,callimico goeldii,callimico goeldii,1,1,0,FALSE,50,17.9,2.884800712846709,5.33,0.995676196568517,arboreal,FALSE,0.1,17.822603918576455,0.46045447477874507,-1.0329422243703321,-0.901513899027574
Callithrix argentata,Callithrix argentata,callithrix argentata,callithrix argentata,callithrix argentata,1,1,0,FALSE,60,16.8,2.8213788864092133,3.09,0.9985460936510022,arboreal,FALSE,0.1,16.775574373336838,0.9642850957322994,-1.1364349212105183,-0.9865333195604824
Callithrix geoffroyi,Callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,callithrix geoffroyi,1,1,0,FALSE,30,17.6,2.8678989020441064,18.99,0.9455753835603061,arboreal,FALSE,0.1,16.64212675066139,-0.5472067671283634,-1.1496254318512023,-0.924701013718367
Callithrix humeralifera,Callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,callithrix humeralifera,1,1,0,FALSE,60,15,2.70805020110221,5.359999999999999,0.9956274219821757,arboreal,FALSE,0.1,14.934411329732635,0.9642850957322994,-1.3184230318339647,-1.1256560077052422
Callithrix jacchus,Callithrix jacchus,callithrix jacchus,callithrix jacchus,callithrix jacchus,1,1,0,FALSE,30,16.8,2.8213788864092133,6.58,0.9934128257140318,arboreal,FALSE,0.1,16.689335471995733,-0.5472067671283634,-1.1449591281088853,-0.9865333195604824
Callithrix penicillata,Callithrix penicillata,callithrix penicillata,callithrix penicillata,callithrix penicillata,1,1,0,FALSE,30,15.4,2.7343675094195836,12.68,0.975611225313615,arboreal,FALSE,0.1,15.024412869829671,-0.5472067671283634,-1.309526910280603,-1.0947398547841845
Callithrix pygmaea,Callithrix pygmaea,callithrix pygmaea,callithrix pygmaea,callithrix pygmaea,1,1,0,FALSE,0,15.1,2.714694743820879,5.96,0.9945946276372433,arboreal,FALSE,0.1,15.018378877322373,-2.058698629989026,-1.310123334861106,-1.1179269694749776
